hostname,state,software,user_count,note_count,peer_count,discovered_at
imastodon.net,up,mastodon,5545,14313458,8980,1612578266
kirakiratter.com,up,mastodon,5536,2524054,9292,1612578265
piaille.fr,up,mastodon,5401,60211,6296,1667313769
fediscience.org,up,mastodon,5342,53732,11892,1612578270
social.dev-wiki.de,up,mastodon,5167,16010,12293,1612578266
planet.moe,up,mastodon,5066,322965,7680,1612578269
lou.lt,up,mastodon,4983,86847,11640,1612578270
econtwitter.net,up,mastodon,4978,25597,7414,1667605044
scholar.social,up,mastodon,4840,322156,19095,1612578267
mstdn.guru,up,mastodon,4661,1519353,8842,1612578268
pouet.chapril.org,up,mastodon,4544,153103,13614,1612578268
gensokyo.town,up,mastodon,4504,488869,9268,1612578266
ura-mstdn.com,up,mastodon,4421,35959,1009,1612578270
med-mastodon.com,up,mastodon,4237,27528,7250,1667195769
pewtix.com,up,mastodon,4233,4735,5076,1650926795
ichiji.social,up,mastodon,4218,2177823,8006,1612578267
wien.rocks,up,mastodon,4195,38231,7346,1620986504
mastodont.cat,up,mastodon,4166,683089,8044,1612578269
dice.camp,up,mastodon,4066,74437,11147,1612578270
metalhead.club,up,mastodon,4065,158073,16897,1612578270
linuxrocks.online,up,mastodon,4023,179896,20093,1612578265
sociale.network,up,mastodon,4010,144130,11470,1612578266
vocalodon.net,up,mastodon,3961,4238685,10878,1612578268
livellosegreto.it,up,mastodon,3952,176890,8380,1648511628
twit.social,up,mastodon,3949,27636,12845,1612578268
m.sclo.nl,up,mastodon,3814,9730,4520,1667369544
social.targaryen.house,up,mastodon,3801,107606,14445,1612578269
1234.as,up,mastodon,3787,515071,8165,1612578266
ruby.social,up,mastodon,3777,38684,15268,1612578266
sigmoid.social,up,mastodon,3757,11470,6678,1667484307
kinkyelephant.com,up,mastodon,3745,182535,8770,1612578269
aipi.social,up,mastodon,3736,7811,3977,1612578266
todon.eu,up,mastodon,3714,236535,13060,1612578269
social.politicaconciencia.org,up,mastodon,3711,217664,13475,1612578268
mastodontti.fi,up,mastodon,3570,48057,10325,1612578266
mastodon.eus,up,mastodon,3559,158779,10887,1612578270
freeatlantis.com,up,mastodon,3547,1647815,7333,1628611184
gensokyo.social,up,mastodon,3521,61159,13103,1612578268
dju.social,up,mastodon,3509,4720,3898,1651251870
mastodon.zaclys.com,up,mastodon,3495,142311,16925,1612578266
bear.community,up,mastodon,3458,51951,8612,1612578270
witches.live,up,mastodon,3387,507973,15626,1612578266
lor.sh,up,mastodon,3379,237747,12368,1612578267
writing.exchange,up,mastodon,3302,157761,18190,1612578267
rollenspiel.social,up,mastodon,3210,75546,9424,1612578267
donphan.social,up,mastodon,3143,100061,13064,1612578271
photog.social,up,mastodon,3141,102230,17076,1612578268
dresden.network,up,mastodon,3140,69372,11880,1612578267
tabletop.social,up,mastodon,3121,107695,15114,1612578269
mathtod.online,up,mastodon,2949,64070,7170,1612578271
yiff.life,up,mastodon,2932,749268,14944,1612578267
toot.cafe,up,mastodon,2913,265513,18344,1612578268
mastodon.elte.hu,up,mastodon,2879,9240,5670,1612578266
