hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,880868,43584720,35801,1612578269
pawoo.net,up,mastodon,785098,67516884,24047,1612578266
baraag.net,up,mastodon,295894,7225898,17162,1612578267
mstdn.jp,up,mastodon,295377,62379961,25103,1612578266
mastodon.cloud,up,mastodon,230624,4586722,27157,1612578270
mastodon.online,up,mastodon,164564,2789745,22566,1612578267
mstdn.social,up,mastodon,145026,6731898,22619,1612578271
mas.to,up,mastodon,131002,1994966,23298,1612578271
mastodon.world,up,mastodon,118080,582964,14526,1615647261
gc2.jp,up,mastodon,100268,985219,0,1658913991
mastodon.lol,up,mastodon,73665,805686,17720,1612578270
mastodon.sdf.org,up,mastodon,61571,683132,20154,1612578266
c.im,up,mastodon,60707,582509,17012,1612578270
mastodonapp.uk,up,mastodon,58856,461195,11999,1667599292
mastodon.uno,up,mastodon,58111,646270,19857,1612578267
universeodon.com,up,mastodon,57164,289439,11585,1667629108
masto.ai,up,mastodon,53022,243250,12513,1667777524
techhub.social,up,mastodon,48830,106006,12745,1612578267
fosstodon.org,up,mastodon,48341,1353918,27781,1612578270
mastodon.top,up,mastodon,43553,358470,17327,1612578268
mstdn.party,up,mastodon,41393,306102,11111,1667944871
mamot.fr,up,mastodon,38542,6006370,25103,1612578270
m.cmx.im,up,mastodon,33724,3216040,14576,1612578265
infosec.exchange,up,mastodon,33311,441263,21189,1612578269
ohai.social,up,mastodon,33061,166623,10823,1667930033
sfba.social,up,mastodon,31402,205463,14882,1612578268
troet.cafe,up,mastodon,30697,1016243,18151,1612578268
hachyderm.io,up,mastodon,28257,213231,13231,1651060929
alive.bar,up,mastodon,27991,3139388,12812,1612578267
masthead.social,up,mastodon,27517,451893,19211,1612578270
home.social,up,mastodon,27177,143771,10827,1667792203
mastodon.art,up,mastodon,26465,1499255,26435,1612578267
mastodon.nl,up,mastodon,26079,239478,18194,1612578268
kolektiva.social,up,mastodon,26027,532893,17223,1612578270
mastodon.scot,up,mastodon,25982,460708,19026,1612578269
www.mastodon.scot,up,mastodon,25970,459642,19020,1640988107
qoto.org,up,mastodon,25229,928336,25584,1612578268
mindly.social,up,mastodon,24856,181734,11856,1649557318
mastodon.xyz,up,mastodon,24145,1777818,29551,1612578271
toot.community,up,mastodon,23972,260045,13300,1667465053
mstdn.ca,up,mastodon,23680,165245,12973,1651043715
mastodon.technology,up,mastodon,23539,1289565,24053,1612578269
