hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,879560,42689932,34194,1612578269
pawoo.net,up,mastodon,780790,67361136,23009,1612578266
baraag.net,up,mastodon,296090,7157583,17162,1612578267
mstdn.jp,up,mastodon,291769,62132357,23563,1612578266
mastodon.cloud,up,mastodon,229251,4549140,25669,1612578270
mastodon.online,up,mastodon,164639,2598331,21049,1612578267
mstdn.social,up,mastodon,136479,6444583,21085,1612578271
mas.to,up,mastodon,128050,1780042,21761,1612578271
mastodon.world,up,mastodon,104189,356791,12977,1615647261
gc2.jp,up,mastodon,100264,973447,0,1658913991
mastodon.lol,up,mastodon,73821,637133,16085,1612578270
c.im,up,mastodon,60398,486477,15436,1612578270
mastodon.sdf.org,up,mastodon,57388,618199,18419,1612578266
mastodon.uno,up,mastodon,54835,580973,18406,1612578267
mastodonapp.uk,up,mastodon,53804,328032,10397,1667599292
universeodon.com,up,mastodon,51024,157801,9665,1667629108
fosstodon.org,up,mastodon,47045,1290887,26255,1612578270
mastodon.top,up,mastodon,43039,360312,16326,1612578268
techhub.social,up,mastodon,42682,71851,11229,1612578267
mamot.fr,up,mastodon,38551,5972368,23820,1612578270
mstdn.party,up,mastodon,38400,203376,9061,1667944871
m.cmx.im,up,mastodon,32743,3129641,13436,1612578265
ohai.social,up,mastodon,31404,110916,9130,1667930033
infosec.exchange,up,mastodon,31107,357161,19666,1612578269
masto.ai,up,mastodon,30922,161624,10772,1667777524
troet.cafe,up,mastodon,29241,888804,17586,1612578268
sfba.social,up,mastodon,29140,140136,13281,1612578268
alive.bar,up,mastodon,27775,3077294,11710,1612578267
masthead.social,up,mastodon,27198,441002,17779,1612578270
mastodon.art,up,mastodon,26419,1440477,24979,1612578267
mastodon.scot,up,mastodon,25118,363419,17528,1612578269
www.mastodon.scot,up,mastodon,25117,363999,17533,1640988107
qoto.org,up,mastodon,25090,911403,24216,1612578268
home.social,up,mastodon,24899,91688,9212,1667792203
mastodon.nl,up,mastodon,24823,191219,16943,1612578268
mastodon.xyz,up,mastodon,24153,1764104,28143,1612578271
hachyderm.io,up,mastodon,23992,140448,11460,1651060929
mastodon.technology,up,mastodon,23567,1290718,22973,1612578269
mindly.social,up,mastodon,23552,132686,10361,1649557318
kolektiva.social,up,mastodon,22927,459555,15712,1612578270
toot.community,up,mastodon,22409,198773,11632,1667465053
mstdn.ca,up,mastodon,20989,105375,10888,1651043715
tkz.one,up,mastodon,20159,96475,6038,1650008092
wxw.ooo,up,mastodon,20117,5376677,13867,1666241191
wxw.moe,up,mastodon,20116,5376377,13867,1612578266
ioc.exchange,up,mastodon,19922,125406,14781,1612578269
nerdculture.de,up,mastodon,19729,142675,16438,1612578269
aus.social,up,mastodon,19718,510634,17600,1612578268
social.tchncs.de,up,mastodon,19344,1703446,25499,1612578266
mastodon.gamedev.place,up,mastodon,18949,215464,20039,1612578266
mastodon.bida.im,up,mastodon,18388,787688,18953,1612578268
mastodon.au,up,mastodon,17826,40217,6300,1665705253
mastodon.ie,up,mastodon,17688,238901,15899,1612578268
mastouille.fr,up,mastodon,17271,44897,10021,1621282389
m.rthome.me,up,mastodon,16574,629,3807,1612578345
ravenation.club,up,mastodon,16470,208052,10313,1651017592
abdl.link,up,mastodon,16158,271943,7601,1612578267
piaille.fr,up,mastodon,15832,159318,8671,1667313769
mstdn.io,up,mastodon,15308,2484539,23086,1612578270
mastodon.com.tr,up,mastodon,15297,144729,6517,1651774648
o3o.ca,up,mastodon,15139,4645518,11824,1612578269
mao.mastodonhub.com,up,mastodon,14460,1347068,8847,1612578269
det.social,up,mastodon,13243,131814,9545,1651496694
toot.wales,up,mastodon,13231,167624,18929,1612578268
mastodontech.de,up,mastodon,13143,117153,15914,1612578266
nrw.social,up,mastodon,13076,165197,11233,1612578266
bitcoinhackers.org,up,mastodon,13067,830545,19173,1612578268
mastodon.nu,up,mastodon,12712,80826,10284,1612579014
eldritch.cafe,up,mastodon,12648,1854975,21543,1612578267
noc.social,up,mastodon,12252,96559,13951,1612578269
octodon.social,up,mastodon,12158,2190495,23607,1612578266
masto.pt,up,mastodon,11962,160201,18775,1612578270
newsie.social,up,mastodon,11691,37480,10449,1667220086
glasgow.social,up,mastodon,11633,61535,11723,1612578268
kinky.business,up,mastodon,11149,282976,15042,1612578268
mastodon.green,up,mastodon,11032,170764,14065,1612578266
theblower.au,up,mastodon,10842,18730,5808,1667918249
norden.social,up,mastodon,10829,575347,17953,1612578268
framapiaf.org,up,mastodon,10821,2087460,21565,1612578271
awscommunity.social,up,mastodon,10381,83523,9521,1651137353
chaos.social,up,mastodon,10315,3223298,24393,1612578270
twingyeo.kr,up,mastodon,10276,1202388,13908,1612578267
social.linux.pizza,up,mastodon,10226,248548,22299,1612578269
sueden.social,up,mastodon,10009,81335,11013,1651092057
love.alicecomplex.com,up,mastodon,9904,47684481,89943,1612578270
mastodon.iriseden.eu,up,mastodon,9690,13636,10265,1612578267
climatejustice.social,up,mastodon,9500,140454,13624,1612578268
indieweb.social,up,mastodon,9424,78064,18995,1612578267
noagendasocial.com,up,mastodon,9369,3690040,11852,1612578269
meow.social,up,mastodon,9253,709197,17818,1612578267
social.cologne,up,mastodon,8925,91143,13630,1612578265
planet.moe,up,mastodon,8877,391963,8513,1612578269
ro-mastodon.puyo.jp,up,mastodon,8554,2093210,1873,1612578267
mathstodon.xyz,up,mastodon,8361,199087,17428,1612578268
ruhr.social,up,mastodon,8348,157407,17888,1612578266
med-mastodon.com,up,mastodon,8131,65022,9881,1667195769
mastodon.nz,up,mastodon,7848,166580,13759,1612578268
muenchen.social,up,mastodon,7804,129618,13926,1612578269
me.ns.ci,up,mastodon,7781,787282,9457,1612578270
mastodon.fun,up,mastodon,7781,787282,9457,1612578387
social.vivaldi.net,up,mastodon,7711,25773,8009,1668254531
masto.nu,up,mastodon,7647,6477,6024,1668359341
socel.net,up,mastodon,7490,61808,14670,1612578267
tech.lgbt,up,mastodon,7403,479999,19014,1612578267
101010.pl,up,mastodon,7386,132018,17579,1612578269
hessen.social,up,mastodon,7338,59005,8992,1621452692
social.anoxinon.de,up,mastodon,6959,101501,16190,1612578267
pewtix.com,up,mastodon,6951,11705,6898,1650926795
hostux.social,up,mastodon,6762,289711,15890,1612578266
g0v.social,up,mastodon,6751,589205,15250,1612578269
h4.io,up,mastodon,6707,19320,6284,1651682903
social.librem.one,up,mastodon,6672,123205,19297,1612578267
social.dev-wiki.de,up,mastodon,6530,21272,13649,1612578266
truthsocial.co.in,up,mastodon,6416,52476,3651,1651281820
ieji.de,up,mastodon,6241,94594,19282,1612578267
botsin.space,up,mastodon,6234,18504772,21004,1612578269
queer.party,up,mastodon,6222,739895,21040,1612578268
vis.social,up,mastodon,6119,82546,18800,1612578269
econtwitter.net,up,mastodon,6110,39410,9810,1667605044
todon.nl,up,mastodon,6017,1164153,19722,1612578267
helladoge.com,up,mastodon,5761,224589,8680,1631862818
dice.camp,up,mastodon,5651,114787,13498,1612578270
dju.social,up,mastodon,5625,8814,6020,1651251870
imastodon.net,up,mastodon,5561,14338415,9362,1612578266
kirakiratter.com,up,mastodon,5536,2526241,9834,1612578265
sigmoid.social,up,mastodon,5271,20090,9442,1667484307
twit.social,up,mastodon,5251,41599,15142,1612578268
livellosegreto.it,up,mastodon,5214,188412,10096,1648511628
fediscience.org,up,mastodon,5075,78672,14160,1612578270
social.politicaconciencia.org,up,mastodon,5074,223512,14430,1612578268
lou.lt,up,mastodon,5006,87803,12812,1612578270
union.place,up,mastodon,5005,11657,6376,1668130028
scholar.social,up,mastodon,4832,335036,21158,1612578267
mastodont.cat,up,mastodon,4824,698063,9473,1612578269
vocalodon.net,up,mastodon,4775,4253848,12175,1612578268
mstdn.guru,up,mastodon,4676,1522488,9569,1612578268
gensokyo.town,up,mastodon,4508,489561,9881,1612578266
pouet.chapril.org,up,mastodon,4497,160080,15157,1612578268
ura-mstdn.com,up,mastodon,4450,36127,1012,1612578270
metalhead.club,up,mastodon,4382,176694,18594,1612578270
mstdn.science,up,mastodon,4308,24411,8087,1667197941
ichiji.social,up,mastodon,4223,2178892,8361,1612578267
wien.rocks,up,mastodon,4178,53719,9291,1620986504
sociale.network,up,mastodon,4165,146942,13340,1612578266
mastodontti.fi,up,mastodon,4128,63464,12058,1612578266
linuxrocks.online,up,mastodon,4056,175707,21588,1612578265
mastodon.eus,up,mastodon,4049,164800,12005,1612578270
ruby.social,up,mastodon,4016,46894,17741,1612578266
lor.sh,up,mastodon,3953,256579,14029,1612578267
aipi.social,up,mastodon,3939,8630,3977,1612578266
witches.live,up,mastodon,3908,508413,17929,1612578266
kinkyelephant.com,up,mastodon,3871,183874,9678,1612578269
1234.as,up,mastodon,3819,520949,8743,1612578266
social.targaryen.house,up,mastodon,3799,108206,15718,1612578269
m.sclo.nl,up,mastodon,3795,11271,6075,1667369544
todon.eu,up,mastodon,3717,253222,14864,1612578269
mastodon.zaclys.com,up,mastodon,3693,148534,18562,1612578266
freeatlantis.com,up,mastodon,3560,1662242,8279,1628611184
bear.community,up,mastodon,3551,53192,9444,1612578270
ecoevo.social,up,mastodon,3549,31430,9270,1667426972
gensokyo.social,up,mastodon,3526,63994,14547,1612578268
zirk.us,up,mastodon,3509,64447,10472,1667517909
rollenspiel.social,up,mastodon,3419,87166,10821,1612578267
dresden.network,up,mastodon,3333,77205,13850,1612578267
writing.exchange,up,mastodon,3292,183967,20297,1612578267
photog.social,up,mastodon,3255,115879,19072,1612578268
