hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,830047,40889734,29681,1612578269
pawoo.net,up,mastodon,770887,67237757,20492,1612578266
baraag.net,up,mastodon,285358,7052733,16198,1612578267
mstdn.jp,up,mastodon,233598,61653954,20155,1612578266
mastodon.cloud,up,mastodon,224154,4476180,21852,1612578270
mastodon.online,up,mastodon,164387,2228197,16996,1612578267
mstdn.social,up,mastodon,114360,5850467,16957,1612578271
gc2.jp,up,mastodon,100201,923245,0,1658913991
mas.to,up,mastodon,93919,1299374,17734,1612578271
c.im,up,mastodon,53330,253695,11416,1612578270
mastodon.top,up,mastodon,42920,335318,13657,1612578268
fosstodon.org,up,mastodon,40850,1132945,22046,1612578270
mamot.fr,up,mastodon,38584,5903180,20783,1612578270
mastodon.uno,up,mastodon,38094,435193,14887,1612578267
mastodonapp.uk,up,mastodon,35504,71736,6053,1667599292
mastodon.lol,up,mastodon,32355,348068,11433,1612578270
m.cmx.im,up,mastodon,30265,3034943,11380,1612578265
mastodon.sdf.org,up,mastodon,29549,530394,15163,1612578266
alive.bar,up,mastodon,27524,3021046,9917,1612578267
mastodon.art,up,mastodon,26084,1298471,21118,1612578267
masthead.social,up,mastodon,25010,415057,14383,1612578270
mastodon.xyz,up,mastodon,23856,1734621,24373,1612578271
mastodon.technology,up,mastodon,23677,1293528,20260,1612578269
qoto.org,up,mastodon,23073,855542,20364,1612578268
wxw.ooo,up,mastodon,19761,5267827,12237,1666241191
wxw.moe,up,mastodon,19760,5267569,12236,1612578266
mastodon.world,up,mastodon,19624,57730,8829,1615647261
sfba.social,up,mastodon,19593,49610,9703,1612578268
troet.cafe,up,mastodon,19459,626674,14469,1612578268
social.tchncs.de,up,mastodon,18545,1666282,21839,1612578266
mstdn.io,up,mastodon,18036,2551955,20161,1612578270
mastodon.bida.im,up,mastodon,17203,777239,16241,1612578268
infosec.exchange,up,mastodon,16889,176541,15963,1612578269
aus.social,up,mastodon,16733,327475,14109,1612578268
m.rthome.me,up,mastodon,16431,630,3543,1612578345
mastodon.nl,up,mastodon,16062,114514,14054,1612578268
