hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,831380,41051288,30083,1612578269
pawoo.net,up,mastodon,771429,67233652,20734,1612578266
baraag.net,up,mastodon,285761,7062492,16324,1612578267
mstdn.jp,up,mastodon,234856,61705086,20539,1612578266
mastodon.cloud,up,mastodon,224622,4487542,22230,1612578270
mastodon.online,up,mastodon,164570,2266153,17336,1612578267
mstdn.social,up,mastodon,117684,5898912,17326,1612578271
mas.to,up,mastodon,102320,1364172,18128,1612578271
gc2.jp,up,mastodon,100205,929214,0,1658913991
c.im,up,mastodon,55042,277958,11767,1612578270
mastodon.top,up,mastodon,42897,337532,13871,1612578268
fosstodon.org,up,mastodon,41473,1146715,22480,1612578270
mastodon.uno,up,mastodon,38998,449944,15286,1612578267
mamot.fr,up,mastodon,38581,5908682,21009,1612578270
mastodonapp.uk,up,mastodon,36714,97550,6547,1667599292
mastodon.lol,up,mastodon,34431,354289,11721,1612578270
m.cmx.im,up,mastodon,30411,3042513,11568,1612578265
mastodon.sdf.org,up,mastodon,30301,534985,15409,1612578266
alive.bar,up,mastodon,27549,3024143,10087,1612578267
mastodon.art,up,mastodon,26148,1312191,21506,1612578267
masthead.social,up,mastodon,25230,417640,14674,1612578270
mastodon.xyz,up,mastodon,23852,1737044,24752,1612578271
mastodon.technology,up,mastodon,23664,1292866,20514,1612578269
qoto.org,up,mastodon,23366,860666,20716,1612578268
mastodon.world,up,mastodon,20651,69723,9214,1615647261
sfba.social,up,mastodon,20602,55856,9990,1612578268
troet.cafe,up,mastodon,20228,646151,14731,1612578268
wxw.moe,up,mastodon,19791,5277761,12609,1612578266
wxw.ooo,up,mastodon,19789,5277356,12609,1666241191
infosec.exchange,up,mastodon,19218,192461,16279,1612578269
social.tchncs.de,up,mastodon,18638,1672305,22190,1612578266
mstdn.io,up,mastodon,17992,2550961,20415,1612578270
mastodon.bida.im,up,mastodon,17260,778255,16482,1612578268
aus.social,up,mastodon,16859,342555,14390,1612578268
www.mastodon.scot,up,mastodon,16832,173584,14476,1640988107
mastodon.scot,up,mastodon,16801,172996,14473,1612578269
mastodon.nl,up,mastodon,16680,120110,14291,1612578268
m.rthome.me,up,mastodon,16432,629,3572,1612578345
abdl.link,up,mastodon,15859,273506,6508,1612578267
toot.community,up,mastodon,15677,77094,7759,1667465053
o3o.ca,up,mastodon,14772,4565044,10351,1612578269
mao.mastodonhub.com,up,mastodon,14460,1344195,8690,1612578269
techhub.social,up,mastodon,13989,8858,7113,1612578267
mastodon.ie,up,mastodon,13801,122254,12300,1612578268
bitcoinhackers.org,up,mastodon,12927,836217,16255,1612578268
eldritch.cafe,up,mastodon,12544,1786167,18663,1612578267
home.social,up,mastodon,12421,11400,4041,1667792203
mastodon.gamedev.place,up,mastodon,12335,145385,16469,1612578266
universeodon.com,up,mastodon,12270,16523,4648,1667629108
ioc.exchange,up,mastodon,12114,92627,11961,1612578269
octodon.social,up,mastodon,12088,2144009,20560,1612578266
ravenation.club,up,mastodon,11985,63572,6330,1651017592
kolektiva.social,up,mastodon,11246,348211,12517,1612578270
