hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,1524115,64398911,58976,1612578269
pawoo.net,up,mastodon,908854,71832478,35998,1612578266
daystorm.netz.org,up,mastodon,479002,20,16,1683075712
switter.at,up,mastodon,435490,8953408,11690,1612578267
mstdn.jp,up,mastodon,395827,69579815,58931,1612578266
baraag.net,up,mastodon,293837,9477918,25730,1612578267
mastodon.cloud,up,mastodon,268712,5501439,46087,1612578270
mstdn.social,up,mastodon,209369,12523842,54678,1612578271
pravda.me,up,mastodon,196668,942900,1397,1676919172
mastodon.online,up,mastodon,185971,6014478,37833,1612578267
mastodon.world,up,mastodon,175082,3675516,30392,1615647261
mas.to,up,mastodon,164708,5390912,38914,1612578271
gc2.jp,up,mastodon,99966,1245998,0,1658913991
techhub.social,up,mastodon,77988,994900,49629,1612578267
universeodon.com,up,mastodon,76434,2222614,21369,1667629108
mastodon.sdf.org,up,mastodon,72753,1457462,29197,1612578266
masto.ai,up,mastodon,72318,1554504,56633,1667777524
mastodon.uno,up,mastodon,68717,1185101,33249,1612578267
c.im,up,mastodon,64048,1709808,30527,1612578270
fosstodon.org,up,mastodon,60833,2529616,43566,1612578270
infosec.exchange,up,mastodon,58539,1793044,36601,1612578269
mastodon.top,up,mastodon,50915,560563,28238,1612578268
mstdn.party,up,mastodon,49866,1230904,26275,1667944871
hachyderm.io,up,mastodon,49007,1759548,29468,1651060929
troet.cafe,up,mastodon,41767,2952349,30250,1612578268
m.cmx.im,up,mastodon,40730,4426231,53603,1612578265
mastodon.nl,up,mastodon,39813,1210696,31119,1612578268
ohai.social,up,mastodon,38652,893724,26794,1667930033
sfba.social,up,mastodon,38465,1430453,36812,1612578268
mamot.fr,up,mastodon,38418,6428290,38456,1612578270
kolektiva.social,up,mastodon,36574,1772723,45754,1612578270
mindly.social,up,mastodon,35537,989617,25940,1649557318
social.vivaldi.net,up,mastodon,34910,1154518,52210,1668254531
mastodon.art,up,mastodon,34865,2705407,41099,1612578267
mstdn.ca,up,mastodon,34811,1518242,28274,1651043715
loforo.com,up,mastodon,33942,4149172,23169,1670267516
mast.lat,up,mastodon,32836,29912,12148,1671490848
tkz.one,up,mastodon,32834,381921,17071,1650008092
mastorock.com,up,mastodon,32832,1817,2545,1685993082
toot.community,up,mastodon,30387,1014587,26551,1667465053
alive.bar,up,mastodon,29868,4054603,22182,1612578267
mastodon.scot,up,mastodon,28632,1341650,32202,1612578269
www.mastodon.scot,up,mastodon,28631,1341224,32200,1640988107
