hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,2032686,99057477,73424,1612578269
pawoo.net,up,mastodon,945864,73102972,42353,1612578266
mstdn.jp,up,mastodon,407062,77151206,66840,1612578266
baraag.net,up,mastodon,294547,13524378,30590,1612578267
mastodon.cloud,up,mastodon,274844,5708518,54514,1612578270
mstdn.social,up,mastodon,231977,17311526,64527,1612578271
pravda.me,up,mastodon,228908,1869146,10062,1676919172
mastodon.online,up,mastodon,191320,9349632,48335,1612578267
mastodon.world,up,mastodon,183199,6041939,38344,1615647261
mas.to,up,mastodon,175286,8717346,48637,1612578271
techhub.social,up,mastodon,80628,1797963,36387,1612578267
universeodon.com,up,mastodon,80552,3464485,31673,1667629108
mastodon.uno,up,mastodon,73454,1363129,41302,1612578267
masto.ai,up,mastodon,73445,2430587,65468,1667777524
mastodon.sdf.org,up,mastodon,72938,2139049,23662,1612578266
infosec.exchange,up,mastodon,69178,3217894,46151,1612578269
c.im,up,mastodon,66773,2618168,37787,1612578270
fosstodon.org,up,mastodon,61968,3598037,52547,1612578270
persistent.info,up,mastodon,53374,3256444,,1668988968
hachyderm.io,up,mastodon,53374,3256444,38967,1651060929
evsyukov.org,up,mastodon,53374,3256444,22,1669235116
social.vivaldi.net,up,mastodon,52163,2246760,61367,1668254531
mastodon.top,up,mastodon,51360,758289,34966,1612578268
loforo.com,up,mastodon,47654,5825416,23169,1670267516
m.cmx.im,up,mastodon,44958,5686675,59577,1612578265
troet.cafe,up,mastodon,44201,4554891,39048,1612578268
mastodon.nl,up,mastodon,41499,2180078,39294,1612578268
ohai.social,up,mastodon,39394,1460489,36256,1667930033
sfba.social,up,mastodon,38752,2419914,37416,1612578268
ploum.be,up,mastodon,38320,6720765,,1612578345
ploum.net,up,mastodon,38320,6720726,,1699688359
mamot.fr,up,mastodon,38320,6720360,46746,1612578270
kolektiva.social,up,mastodon,38110,2869509,54105,1612578270
mastodon.art,up,mastodon,37332,3612269,49809,1612578267
mindly.social,up,mastodon,35761,1412198,35080,1649557318
mast.lat,up,mastodon,35553,80907,12079,1671490848
tkz.one,up,mastodon,35551,522993,16796,1650008092
mstdn.ca,up,mastodon,34810,2635754,37282,1651043715
social.quodverum.com,up,mastodon,34305,7961426,13337,1612578267
mastodon.gamedev.place,up,mastodon,31963,1327102,44696,1612578266
alive.bar,up,mastodon,31733,5177012,27722,1612578267
toot.community,up,mastodon,31226,1578057,33717,1667465053
aethy.com,up,mastodon,30824,1154812,18590,1667676749
piaille.fr,up,mastodon,30541,2415187,30943,1667313769
www.mastodon.scot,up,mastodon,28833,2059349,40392,1640988107
mastodon.scot,up,mastodon,28833,2059325,40391,1612578269
mastodon.xyz,up,mastodon,28488,2086932,51752,1612578271
qoto.org,up,mastodon,27183,1622416,46565,1612578268
planet.moe,up,mastodon,26792,8742985,23169,1612578269
masto.es,up,mastodon,26788,646299,25832,1668226037
mastodon.au,up,mastodon,26401,635033,32671,1665705253
ravenation.club,up,mastodon,26295,458022,32857,1651017592
ioc.exchange,up,mastodon,26240,503657,35435,1612578269
det.social,up,mastodon,25551,787707,26580,1651496694
aus.social,up,mastodon,25204,2492891,37898,1612578268
me.dm,up,mastodon,23586,168502,31175,1673350243
wxw.ooo,up,mastodon,22974,10102387,28917,1666241191
wxw.moe,up,mastodon,22974,10102387,28917,1612578266
social.tchncs.de,up,mastodon,22212,3007264,49658,1612578266
mastouille.fr,up,mastodon,21672,195676,29376,1621282389
masto.nu,up,mastodon,21484,71926,19085,1668359341
mastodon.com.tr,up,mastodon,21018,469312,18616,1651774648
mastodon.ie,up,mastodon,20981,1353833,40441,1612578268
mastodon.bida.im,up,mastodon,20897,902604,37968,1612578268
newsie.social,up,mastodon,20799,1198700,129045,1667220086
thu.closed.social,up,mastodon,19765,146023,23,1612578345
nrw.social,up,mastodon,18106,1294823,31217,1612578266
o3o.ca,up,mastodon,18057,7746242,28423,1612578269
mathstodon.xyz,up,mastodon,17868,1172275,40602,1612578268
m.rthome.me,up,mastodon,17749,665,6352,1612578345
abdl.link,up,mastodon,16866,307187,17608,1612578267
mastodon.nu,up,mastodon,16743,746328,32416,1612579014
mastodontech.de,up,mastodon,16501,457294,34067,1612578266
mastodon-japan.net,up,mastodon,16088,4101813,19649,1667983507
theblower.au,up,mastodon,15363,311816,25296,1667918249
glasgow.social,up,mastodon,14824,229801,28941,1612578268
mao.mastodonhub.com,up,mastodon,14762,1448621,15866,1612578269
sueden.social,up,mastodon,14455,663423,32628,1651092057
ieji.de,up,mastodon,14428,341953,42382,1612578267
kinky.business,up,mastodon,13417,527616,31290,1612578268
noc.social,up,mastodon,13374,394827,35518,1612578269
norden.social,up,mastodon,13274,2441508,41182,1612578268
meow.social,up,mastodon,13049,1989843,22001,1612578267
eldritch.cafe,up,mastodon,12821,2790027,43141,1612578267
defcon.social,up,mastodon,12599,246743,31273,1668556021
chaos.social,up,mastodon,12231,6797721,67207,1612578270
octodon.social,up,mastodon,12223,3000151,47039,1612578266
social.cologne,up,mastodon,11997,618530,34828,1612578265
mastodon.green,up,mastodon,11960,1035073,32576,1612578266
toot.io,up,mastodon,11729,163782,32868,1612578267
social.linux.pizza,up,mastodon,11605,677853,45200,1612578269
indieweb.social,up,mastodon,11518,566960,43496,1612578267
denostodon.deno.dev,up,mastodon,11518,566923,,1682895834
med-mastodon.com,up,mastodon,11213,441026,32230,1667195769
