hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,1550953,65966527,61882,1612578269
pawoo.net,up,mastodon,913658,72081354,36365,1612578266
daystorm.netz.org,up,mastodon,479002,20,16,1683075712
switter.at,up,mastodon,435490,8953408,11690,1612578267
mstdn.jp,up,mastodon,397770,69977679,59362,1612578266
baraag.net,up,mastodon,293757,9581165,26083,1612578267
mastodon.cloud,up,mastodon,271035,5534200,46540,1612578270
mstdn.social,up,mastodon,210591,12784665,55194,1612578271
pravda.me,up,mastodon,203430,1026609,3530,1676919172
mastodon.online,up,mastodon,187233,6182297,38757,1612578267
mastodon.world,up,mastodon,176263,3808811,30925,1615647261
mas.to,up,mastodon,165302,5539729,39420,1612578271
gc2.jp,up,mastodon,99950,1249295,0,1658913991
techhub.social,up,mastodon,78157,1034170,50096,1612578267
universeodon.com,up,mastodon,76655,2294301,21913,1667629108
mastodon.sdf.org,up,mastodon,72767,1500787,29696,1612578266
masto.ai,up,mastodon,72444,1604198,57101,1667777524
mastodon.uno,up,mastodon,69011,1192119,33667,1612578267
c.im,up,mastodon,64146,1743031,30950,1612578270
fosstodon.org,up,mastodon,61175,2580142,44038,1612578270
infosec.exchange,up,mastodon,59072,1863640,37098,1612578269
mastodon.top,up,mastodon,50988,576337,28638,1612578268
mstdn.party,up,mastodon,49946,1250153,26720,1667944871
hachyderm.io,up,mastodon,49301,1839879,29984,1651060929
troet.cafe,up,mastodon,41994,3038101,30775,1612578268
m.cmx.im,up,mastodon,40943,4501042,54045,1612578265
mastodon.nl,up,mastodon,39892,1264275,31544,1612578268
ohai.social,up,mastodon,38679,928690,27305,1667930033
sfba.social,up,mastodon,38474,1486969,37277,1612578268
mamot.fr,up,mastodon,38411,6488562,39025,1612578270
kolektiva.social,up,mastodon,36677,1828172,46233,1612578270
social.vivaldi.net,up,mastodon,36052,1203860,52703,1668254531
mindly.social,up,mastodon,35551,1020043,26401,1649557318
mastodon.art,up,mastodon,35048,2767899,41593,1612578267
mstdn.ca,up,mastodon,34877,1587169,28750,1651043715
loforo.com,up,mastodon,34475,4214341,23169,1670267516
mast.lat,up,mastodon,33092,33664,12595,1671490848
tkz.one,up,mastodon,33091,394532,17558,1650008092
mastorock.com,up,mastodon,33086,1912,2817,1685993082
toot.community,up,mastodon,30442,1044610,26985,1667465053
alive.bar,up,mastodon,29947,4111743,22488,1612578267
mastodon.scot,up,mastodon,28645,1377595,32661,1612578269
www.mastodon.scot,up,mastodon,28645,1377595,32661,1640988107
mastodon.xyz,up,mastodon,28541,1895620,43944,1612578271
mastodon.gamedev.place,up,mastodon,28289,858318,36553,1612578266
piaille.fr,up,mastodon,27150,1250551,22911,1667313769
qoto.org,up,mastodon,26274,1410529,39303,1612578268
mastodon.au,up,mastodon,26091,483215,25134,1665705253
ioc.exchange,up,mastodon,25931,344161,29391,1612578269
ravenation.club,up,mastodon,24997,380134,25716,1651017592
aus.social,up,mastodon,24780,1747182,33182,1612578268
masto.es,up,mastodon,23434,351784,18539,1668226037
planet.moe,up,mastodon,22171,2500106,18515,1612578269
wxw.moe,up,mastodon,21957,7436851,24302,1612578266
wxw.ooo,up,mastodon,21957,7436851,24303,1666241191
twingyeo.kr,up,mastodon,21847,2228164,25089,1612578267
mastouille.fr,up,mastodon,21256,148133,23456,1621282389
social.tchncs.de,up,mastodon,21078,2345418,41495,1612578266
newsie.social,up,mastodon,20900,757960,121380,1667220086
mastodon.com.tr,up,mastodon,20618,440266,15333,1651774648
mastodon.ie,up,mastodon,20600,920706,32527,1612578268
mastodon.bida.im,up,mastodon,20559,868063,31651,1612578268
masto.nu,up,mastodon,20005,77160,20197,1668359341
det.social,up,mastodon,19648,588339,21428,1651496694
nrw.social,up,mastodon,17914,809873,23967,1612578266
m.rthome.me,up,mastodon,17611,666,5435,1612578345
o3o.ca,up,mastodon,17599,6345301,23227,1612578269
abdl.link,up,mastodon,16610,290259,14238,1612578267
mastodontech.de,up,mastodon,16523,301416,30455,1612578266
mastodon.nu,up,mastodon,16460,432216,25259,1612579014
mathstodon.xyz,up,mastodon,15712,810492,35113,1612578268
theblower.au,up,mastodon,15233,172809,19004,1667918249
me.dm,up,mastodon,14833,87697,23687,1673350243
glasgow.social,up,mastodon,14781,166526,24731,1612578268
mao.mastodonhub.com,up,mastodon,14605,1403730,13740,1612578269
mastodon-japan.net,up,mastodon,14549,1892086,14037,1667983507
sueden.social,up,mastodon,14363,419317,25830,1651092057
ieji.de,up,mastodon,13827,228914,34740,1612578267
noc.social,up,mastodon,13281,288247,28134,1612578269
toot.wales,up,mastodon,13264,496661,34067,1612578268
kinky.business,up,mastodon,12932,425384,26459,1612578268
norden.social,up,mastodon,12907,1555102,33466,1612578268
meow.social,up,mastodon,12871,1422021,31503,1612578267
eldritch.cafe,up,mastodon,12750,2298779,35579,1612578267
tech.lgbt,up,mastodon,12749,1862767,34221,1612578267
octodon.social,up,mastodon,12211,2619126,39281,1612578266
mastodon.green,up,mastodon,11912,717524,27686,1612578266
social.cologne,up,mastodon,11864,395384,28035,1612578265
chaos.social,up,mastodon,11265,4855776,58573,1612578270
mastodon.iriseden.eu,up,mastodon,11093,63079,20917,1612578267
social.linux.pizza,up,mastodon,11073,470944,38043,1612578269
indieweb.social,up,mastodon,11064,358246,35438,1612578267
denostodon.deno.dev,up,mastodon,11062,357944,,1682895834
awscommunity.social,up,mastodon,11029,182354,24459,1651137353
toot.io,up,mastodon,10987,100298,25947,1612578267
muenchen.social,up,mastodon,10816,368343,24405,1612578269
framapiaf.org,up,mastodon,10793,2315847,32637,1612578271
defcon.social,up,mastodon,10706,133499,23450,1668556021
med-mastodon.com,up,mastodon,10528,335569,25100,1667195769
ruhr.social,up,mastodon,10382,445305,32381,1612578266
sigmoid.social,up,mastodon,10336,141414,24837,1667484307
social.anoxinon.de,up,mastodon,10175,322813,28526,1612578267
social.dev-wiki.de,up,mastodon,10055,120496,24581,1612578266
nerdculture.de,up,mastodon,10034,467947,21813,1612578269
mstdn.tokyocameraclub.com,up,mastodon,9991,122383,10755,1612578270
aethy.com,up,mastodon,9951,476840,12919,1667676749
love.alicecomplex.com,up,mastodon,9904,28100267,116293,1612578270
hessen.social,up,mastodon,9818,341865,21374,1621452692
climatejustice.social,up,mastodon,9608,342127,20068,1612578268
projectmushroom.social,up,mastodon,9347,34145,,1668572864
ro-mastodon.puyo.jp,up,mastodon,9243,2360706,3136,1612578267
noagendasocial.com,up,mastodon,9055,4042211,66771,1612578269
mastodon.nz,up,mastodon,9010,682575,27649,1612578268
cyberplace.social,up,mastodon,8875,33034,20944,1669121871
dice.camp,up,mastodon,8468,648429,29089,1612578270
socel.net,up,mastodon,8383,279666,29224,1612578267
aipi.social,up,mastodon,8374,20250,3985,1612578266
botsin.space,up,mastodon,8336,22640137,35789,1612578269
hostux.social,up,mastodon,8177,389837,26418,1612578266
101010.pl,up,mastodon,8161,375226,31072,1612578269
twit.social,up,mastodon,8120,273383,30757,1612578268
stranger.social,up,mastodon,8116,135438,20788,1669842504
h4.io,up,mastodon,8040,65815,16633,1651682903
mastodon.fun,up,mastodon,8034,1020478,18049,1612578387
me.ns.ci,up,mastodon,8033,1020281,18051,1612578270
econtwitter.net,up,mastodon,8009,224048,23863,1667605044
geekdom.social,up,mastodon,7984,57670,18596,1669308888
g0v.social,up,mastodon,7494,835923,26878,1612578269
mastodont.cat,up,mastodon,7383,952361,20164,1612578269
truthsocial.co.in,up,mastodon,7195,57643,108024,1651281820
nojack.easydns.ca,up,mastodon,6949,23925,19734,1612578267
vocalodon.net,up,mastodon,6936,4587881,21291,1612578268
mstdn.science,up,mastodon,6919,211854,101076,1667197941
graphics.social,up,mastodon,6906,14868,20242,1667628718
social.librem.one,up,mastodon,6886,145408,32588,1612578267
pol.social,up,mastodon,6648,91708,20804,1635770435
vis.social,up,mastodon,6171,155666,32692,1612578269
queer.party,up,mastodon,6147,958803,35435,1612578268
urbanists.social,up,mastodon,6115,244093,25298,1667260279
mastodonners.nl,up,mastodon,5923,62859,15950,1668359252
livellosegreto.it,up,mastodon,5909,319755,23613,1648511628
dju.social,up,mastodon,5764,66175,17253,1651251870
union.place,up,mastodon,5666,203599,20669,1668130028
imastodon.net,up,mastodon,5656,14895538,14467,1612578266
toot.funami.tech,up,mastodon,5605,82123,14435,1665984385
ruby.social,up,mastodon,5573,182048,58281,1612578266
kirakiratter.com,up,mastodon,5485,2584954,15428,1612578265
zirk.us,up,mastodon,5399,565451,27589,1667517909
social.politicaconciencia.org,up,mastodon,5357,270986,25022,1612578268
metalhead.club,up,mastodon,5342,354798,32176,1612578270
lou.lt,up,mastodon,5224,99726,18764,1612578270
toot.aquilenet.fr,up,mastodon,5181,194875,27806,1612578268
fediscience.org,up,mastodon,5162,346662,29717,1612578270
masto.pt,up,mastodon,5119,341157,32932,1612578270
mastodonczech.cz,up,mastodon,5107,109689,18831,1668156684
persiansmastodon.com,up,mastodon,5091,14708,7592,1669090312
ecoevo.social,up,mastodon,5083,180685,24037,1667426972
mastodontti.fi,up,mastodon,5057,260862,25191,1612578266
moth.social,up,mastodon,5039,25906,19470,1671693455
convo.casa,up,mastodon,4888,38139,20690,1668572374
bark.lgbt,up,mastodon,4822,107099,16373,1671200896
scholar.social,up,mastodon,4798,492414,35334,1612578267
mstdn.guru,up,mastodon,4763,1630005,15178,1612578268
kinkyelephant.com,up,mastodon,4588,243745,22029,1612578269
rollenspiel.social,up,mastodon,4512,198705,15606,1612578267
gensokyo.town,up,mastodon,4499,511781,14906,1612578266
lor.sh,up,mastodon,4406,425501,29421,1612578267
mastodon.eus,up,mastodon,4402,248862,20746,1612578270
witches.live,up,mastodon,4345,599135,127574,1612578266
muenster.im,up,mastodon,4289,137284,21530,1612578266
wien.rocks,up,mastodon,4257,175803,16659,1620986504
ichiji.social,up,mastodon,4234,1988412,12826,1612578267
linuxrocks.online,up,mastodon,4202,217873,35400,1612578265
todon.eu,up,mastodon,4190,452266,27698,1612578269
occm.cc,up,mastodon,4130,2901427,1610,1626061599
1234.as,up,mastodon,4122,702943,17023,1612578266
sociale.network,up,mastodon,4121,266008,26862,1612578266
phpc.social,up,mastodon,4121,153221,28389,1612578266
mastodon.com.py,up,mastodon,4086,24745,131100,1668961593
freemasonry.social,up,mastodon,4084,3287,8749,1668384511
pouet.chapril.org,up,mastodon,3990,318422,26277,1612578268
artsio.com,up,mastodon,3974,16958,14034,1651010199
mastodonbooks.net,up,mastodon,3937,48817,15753,1668780698
mastodon.zaclys.com,up,mastodon,3896,205861,30322,1612578266
bear.community,up,mastodon,3891,72320,18096,1612578270
social.targaryen.house,up,mastodon,3784,106654,27129,1612578269
sciences.social,up,mastodon,3725,93602,23684,1667197941
freeatlantis.com,up,mastodon,3717,1772816,17246,1628611184
wandering.shop,up,mastodon,3657,1487324,35758,1612578269
yiff.life,up,mastodon,3655,959379,30508,1612578267
dresden.network,up,mastodon,3653,197897,25782,1612578267
gensokyo.social,up,mastodon,3645,96440,26056,1612578268
rubber.social,up,mastodon,3626,117860,20978,1612578269
genomic.social,up,mastodon,3597,96223,22506,1667385374
writing.exchange,up,mastodon,3592,406006,35009,1612578267
ai.wiki,up,mastodon,3588,23451,11833,1678329717
pettingzoo.co,up,mastodon,3527,134777,25696,1612578270
opalstack.social,up,mastodon,3517,32117,8709,1668064184
bgme.me,up,mastodon,3497,4097684,23979,1612578270
mastodon-belgium.be,up,mastodon,3497,139757,18575,1667430788
qdon.space,up,mastodon,3485,485146,13653,1612578270
beta.qdon.space,up,mastodon,3485,485076,13651,1623851869
masto.nobigtech.es,up,mastodon,3432,95420,20171,1635871966
cr8r.gg,up,mastodon,3395,34527,24428,1667660092
mathtod.online,up,mastodon,3349,72090,12781,1612578271
todon.nl,up,mastodon,3344,1340561,31519,1612578267
mastodon.elte.hu,up,mastodon,3332,9769,11554,1612578266
donphan.social,up,mastodon,3325,118186,24796,1612578271
tooot.im,up,mastodon,3317,496813,29670,1612578266
openpossibilities.org,up,mastodon,3310,1191,498,1671432857
liker.social,up,mastodon,3279,428923,18876,1612578267
rheinneckar.social,up,mastodon,3273,59318,20926,1650131184
mastoturk.org,up,mastodon,3270,101099,1031,1674611164
photog.social,up,mastodon,3268,359221,33485,1612578268
kind.social,up,mastodon,3226,182833,26476,1612578267
fulda.social,up,mastodon,3202,55269,20572,1612578270
climatejustice.rocks,up,mastodon,3158,73776,19890,1650998319
tabletop.social,up,mastodon,3158,139743,28131,1612578269
ffxiv-mastodon.com,up,mastodon,3127,566180,6042,1612578267
lile.cl,up,mastodon,3076,479925,22445,1651004483
xarxa.cloud,up,mastodon,3057,100522,23470,1612578270
best-friends.chat,up,mastodon,3054,12028658,20899,1612578266
ika.queloud.net,up,mastodon,3015,1589226,9876,1612578268
journa.host,up,mastodon,3009,226341,25894,1667650887
toad.social,up,mastodon,2991,369376,21904,1667903460
expressional.social,up,mastodon,2967,232996,14621,1668278006
cryptodon.lol,up,mastodon,2929,61709,18900,1667783067
discuss.systems,up,mastodon,2919,81807,18147,1667878005
mastodon.in.th,up,mastodon,2901,257341,17358,1612578271
toot.cafe,up,mastodon,2895,330715,32474,1612578268
mastodon.arch-linux.cz,up,mastodon,2893,76704,19321,1614098350
kemonodon.club,up,mastodon,2858,708428,12226,1612578266
equestria.social,up,mastodon,2837,214633,29467,1612578266
cybre.space,up,mastodon,2832,3289127,40901,1612578269
androiddev.social,up,mastodon,2806,59718,23154,1667396811
ursal.zone,up,mastodon,2801,340829,27228,1612578266
hispagatos.space,up,mastodon,2799,71707,24687,1612578270
oc.todon.fr,up,mastodon,2789,155917,28119,1612578270
bildung.social,up,mastodon,2783,226842,29229,1612578268
tooting.ch,up,mastodon,2776,195673,29921,1612578269
freeradical.zone,up,mastodon,2769,536849,27384,1612578266
berlin.social,up,mastodon,2744,248499,39154,1612578347
mastodon.radio,up,mastodon,2723,200159,29462,1612578266
disabled.social,up,mastodon,2706,157732,20708,1667883830
darkart.space,up,mastodon,2702,6279,,1612578347
peoplemaking.games,up,mastodon,2681,123282,26512,1651064566
digitalcourage.social,up,mastodon,2664,402115,22086,1612578271
vmst.io,up,mastodon,2587,179796,19893,1665156351
acg.mn,up,mastodon,2578,189464,17051,1612578266
gameliberty.club,up,mastodon,2528,735148,42013,1612578268
mastodon.partipirate.org,up,mastodon,2526,40382,22818,1612578270
toot.cat,up,mastodon,2515,471328,43730,1612578265
mstdn.fr,up,mastodon,2512,328769,23580,1612578270
freiburg.social,up,mastodon,2504,138704,22290,1612822702
veganism.social,up,mastodon,2465,57201,19582,1668940777
mastodon.me.uk,up,mastodon,2460,257431,31270,1612578270
donotban.com,up,mastodon,2454,702949,20739,1612578269
mastodon.la,up,mastodon,2443,451921,22503,1612578270
astrodon.social,up,mastodon,2434,100699,24234,1667117307
iztasocial.site,up,mastodon,2421,37695,2116,1612578347
snabelen.no,up,mastodon,2417,136901,131069,1612578266
liberdon.com,up,mastodon,2398,416280,29596,1612578268
mstdn.id,up,mastodon,2397,67378,13947,1612578269
hello.2heng.xin,up,mastodon,2395,213886,14218,1612578266
hci.social,up,mastodon,2389,82544,21567,1651593490
layer8.space,up,mastodon,2354,157880,48978,1612578265
elekk.xyz,up,mastodon,2335,1496604,29266,1612578269
mastodon.ml,up,mastodon,2335,720906,38506,1612578271
federated.press,up,mastodon,2319,100645,18391,1667840655
eletusk.club,up,mastodon,2312,2241183,7898,1612578269
dizl.de,up,mastodon,2293,82741,22562,1612578265
libretooth.gr,up,mastodon,2281,286240,24199,1612578268
data-folks.masto.host,up,mastodon,2275,33176,19192,1667492766
mastodon.cipherbliss.com,up,mastodon,2273,69689,20561,1612578268
oslo.town,up,mastodon,2236,53682,28385,1612578268
ani.work,up,mastodon,2230,98821,17271,1612578269
freeframe.masto.host,up,mastodon,2226,20429,8523,1612578267
mas.town,up,mastodon,2196,30243,16077,1668216403
piano.masto.host,up,mastodon,2194,5390,4882,1612578345
lgbt.io,up,mastodon,2170,301987,26657,1612578270
tea.codes,up,mastodon,2161,30086,14148,1639647840
mastodon.cat,up,mastodon,2155,40159,11006,1668684179
mstdn.maud.io,up,mastodon,2147,6240397,21505,1612578267
mastodon.oeru.org,up,mastodon,2145,12504,20609,1612578267
anarchism.space,up,mastodon,2125,250394,27015,1612578269
guitar.rodeo,up,mastodon,2113,6866,12965,1669398555
cloud-native.social,up,mastodon,2111,8790,15283,1667655033
mstdn.kemono-friends.info,up,mastodon,2081,8955439,14283,1612578266
vkl.world,up,mastodon,2079,36123,7998,1668904961
social.veraciousnetwork.com,up,mastodon,2067,3906,14540,1666657389
mastodon.com.br,up,mastodon,2027,184559,20010,1612578271
mstdn.games,up,mastodon,2010,184191,24522,1670020575
twiukraine.com,up,mastodon,2004,89330,12162,1667863737
swiss.social,up,mastodon,2000,128632,23644,1667401199
woof.group,up,mastodon,1988,236008,22769,1612578266
tilde.zone,up,mastodon,1985,218956,32695,1612578269
historians.social,up,mastodon,1982,115027,17113,1668916132
mstdn.dk,up,mastodon,1980,17779,18740,1667342222
mast.dragon-fly.club,up,mastodon,1980,137411,13698,1612578348
dragon-fly.club,up,mastodon,1979,137395,13697,1612578442
mastorol.es,up,mastodon,1975,64621,12074,1668281931
kmy.blue,up,mastodon,1973,126321,8573,1676174910
anticapitalist.party,up,mastodon,1960,307262,48763,1612578267
photodn.net,up,mastodon,1946,135717,17394,1612578266
paquita.masto.host,up,mastodon,1925,293097,23176,1652382782
mapstodon.space,up,mastodon,1913,47132,22915,1667618616
flipboard.social,up,mastodon,1899,39981,16868,1674337995
kurry.social,up,mastodon,1899,95474,10182,1666766962
mastodon.cc,up,mastodon,1889,72935,27353,1612578270
mastodon.gougere.fr,up,mastodon,1882,221627,26074,1612578270
hometech.social,up,mastodon,1865,5039,13497,1669317303
rivals.space,up,mastodon,1862,131832,21840,1612578270
mastodon.org.uk,up,mastodon,1860,220010,30076,1612578271
mstdn.osaka,up,mastodon,1857,1866159,7058,1612578268
wetdry.world,up,mastodon,1856,229391,21880,1627998822
social.coop,up,mastodon,1846,547669,38116,1612578270
mastodon.juggler.jp,up,mastodon,1824,736769,12542,1612578266
romancelandia.club,up,mastodon,1808,154740,22939,1612578268
mustard.blog,up,mastodon,1793,71548,6184,1668166330
gametoots.de,up,mastodon,1771,6573,96618,1668996001
seaofog.com,up,mastodon,1760,304192,12319,1632382237
spore.social,up,mastodon,1759,144552,22862,1669240341
awoo.space,up,mastodon,1730,639657,302,1612578270
shakedown.social,up,mastodon,1713,142434,19373,1668743615
irsoluciones.social,up,mastodon,1709,3463,6383,1669981186
lounge.town,up,mastodon,1698,20475,18988,1668775978
bolha.us,up,mastodon,1688,47368,20018,1653161008
mastodon.mnetwork.co.kr,up,mastodon,1678,51675,5416,1612579013
mastodon.pirateparty.be,up,mastodon,1674,78197,21470,1612578267
mstdn.io,up,mastodon,1667,1848614,36376,1612578270
otoya.space,up,mastodon,1662,72207,9506,1612578268
arsenalfc.social,up,mastodon,1649,27183,12117,1669043102
girlcock.club,up,mastodon,1645,426333,57048,1612578267
aleph.land,up,mastodon,1643,210500,29200,1612578266
is.nota.live,up,mastodon,1624,355004,34627,1612578267
medibubble.org,up,mastodon,1617,102558,16998,1664196430
mental.social,up,mastodon,1614,1293046,10486,1612578269
arvr.social,up,mastodon,1603,9933,14450,1668499404
respublicae.eu,up,mastodon,1591,1544026,13678,1648942558
typo.social,up,mastodon,1579,49849,16574,1667728125
computerfairi.es,up,mastodon,1572,457964,28954,1612578267
cubhub.social,up,mastodon,1567,82251,10613,1668617824
shelter.moe,up,mastodon,1523,292485,27205,1612578268
blacktwitter.io,up,mastodon,1514,59988,20386,1612578387
fetswing.org,up,mastodon,1514,1364,3213,1668320123
fandom.ink,up,mastodon,1506,265334,29179,1612578267
sunny.garden,up,mastodon,1492,102128,21009,1651075040
graz.social,up,mastodon,1492,84956,21402,1612578266
douchi.space,up,mastodon,1464,391167,15270,1612578268
pnw.zone,up,mastodon,1451,38960,19245,1668940013
h5q.net,up,mastodon,1439,51197,9600,1612578269
social.coletivos.org,up,mastodon,1437,31999,21937,1612578270
metu.life,up,mastodon,1420,68737,359,1612578267
mastodon.librelabucm.org,up,mastodon,1417,6456,11567,1612578268
scicomm.xyz,up,mastodon,1416,105121,29939,1612578267
social.lol,up,mastodon,1413,171013,22669,1657993625
mastodo.fi,up,mastodon,1410,34244,15179,1667768090
tribe.net,up,mastodon,1399,9547,13067,1667788943
mastodon.coffee,up,mastodon,1397,240125,46903,1612578392
pokemon.mastportal.info,up,mastodon,1385,2656031,15736,1612578269
mona.do,up,mastodon,1385,494570,95658,1658990299
nasface.cz,up,mastodon,1382,11172,7922,1633537347
akamdon.com,up,mastodon,1382,172324,52,1674312847
witter.cz,up,mastodon,1377,37747,15197,1667750042
blorbo.social,up,mastodon,1376,120154,16903,1668029658
