hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,2032686,99057477,73424,1612578269
pawoo.net,up,mastodon,945861,73102307,42352,1612578266
mstdn.jp,up,mastodon,407062,77151206,66840,1612578266
baraag.net,up,mastodon,294547,13524378,30590,1612578267
mastodon.cloud,up,mastodon,274843,5708475,54513,1612578270
mstdn.social,up,mastodon,231977,17311526,64527,1612578271
pravda.me,up,mastodon,228908,1869146,10062,1676919172
mastodon.online,up,mastodon,191320,9349632,48335,1612578267
mastodon.world,up,mastodon,183198,6041781,38343,1615647261
mas.to,up,mastodon,175286,8717346,48637,1612578271
techhub.social,up,mastodon,80628,1797963,36387,1612578267
universeodon.com,up,mastodon,80552,3464423,31672,1667629108
mastodon.uno,up,mastodon,73454,1363111,41302,1612578267
masto.ai,up,mastodon,73445,2430540,65468,1667777524
mastodon.sdf.org,up,mastodon,72938,2139049,23662,1612578266
infosec.exchange,up,mastodon,69178,3217831,46151,1612578269
c.im,up,mastodon,66772,2618032,37787,1612578270
fosstodon.org,up,mastodon,61968,3597937,52547,1612578270
hachyderm.io,up,mastodon,53374,3256444,38967,1651060929
evsyukov.org,up,mastodon,53374,3256444,22,1669235116
persistent.info,up,mastodon,53374,3256389,,1668988968
social.vivaldi.net,up,mastodon,52163,2246760,61367,1668254531
mastodon.top,up,mastodon,51360,758289,34966,1612578268
mstdn.party,up,mastodon,50851,1577636,34684,1667944871
loforo.com,up,mastodon,47654,5825416,23169,1670267516
m.cmx.im,up,mastodon,44957,5686509,59577,1612578265
troet.cafe,up,mastodon,44201,4554636,39048,1612578268
mastodon.nl,up,mastodon,41499,2180078,39293,1612578268
ohai.social,up,mastodon,39394,1460428,36255,1667930033
sfba.social,up,mastodon,38752,2419914,37416,1612578268
ploum.net,up,mastodon,38320,6720726,,1699688359
mamot.fr,up,mastodon,38320,6720360,46746,1612578270
ploum.be,up,mastodon,38320,6720726,,1612578345
kolektiva.social,up,mastodon,38110,2869436,54105,1612578270
