hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,866982,42042153,32333,1612578269
pawoo.net,up,mastodon,774077,67329687,22076,1612578266
baraag.net,up,mastodon,288573,7130496,17116,1612578267
mstdn.jp,up,mastodon,278233,61964964,22082,1612578266
mastodon.cloud,up,mastodon,226811,4531998,24079,1612578270
mastodon.online,up,mastodon,164677,2469239,19329,1612578267
mstdn.social,up,mastodon,136034,6251226,19366,1612578271
imaginary-sponge-hook.glitch.me,up,mastodon,135908,6236641,19086,1668309816
mas.to,up,mastodon,126394,1631051,20114,1612578271
gc2.jp,up,mastodon,100259,956630,0,1658913991
c.im,up,mastodon,58240,402304,13828,1612578270
mastodon.lol,up,mastodon,54352,469901,13882,1612578270
mastodon.uno,up,mastodon,45571,513819,16958,1612578267
fosstodon.org,up,mastodon,44627,1232916,24542,1612578270
mastodonapp.uk,up,mastodon,44110,236433,8828,1667599292
mastodon.top,up,mastodon,43001,345079,15259,1612578268
mamot.fr,up,mastodon,38567,5941272,22584,1612578270
mastodon.world,up,mastodon,38530,156393,11222,1615647261
mastodon.sdf.org,up,mastodon,37266,565723,17103,1612578266
m.cmx.im,up,mastodon,31440,3096240,12614,1612578265
techhub.social,up,mastodon,27692,39557,9700,1612578267
alive.bar,up,mastodon,27682,3057190,10958,1612578267
masthead.social,up,mastodon,26334,431628,16467,1612578270
mastodon.art,up,mastodon,26328,1392691,23398,1612578267
infosec.exchange,up,mastodon,26221,285572,18016,1612578269
troet.cafe,up,mastodon,24930,777948,16277,1612578268
qoto.org,up,mastodon,24629,891524,22592,1612578268
mastodon.xyz,up,mastodon,23869,1752439,26526,1612578271
mstdn.party,up,mastodon,23810,103163,6693,1667944871
sfba.social,up,mastodon,23622,94552,11634,1612578268
mastodon.technology,up,mastodon,23604,1291639,21885,1612578269
mindly.social,up,mastodon,22336,87090,8919,1649557318
home.social,up,mastodon,21397,54696,7290,1667792203
ohai.social,up,mastodon,20596,51123,7207,1667930033
universeodon.com,up,mastodon,20557,57740,7420,1667629108
toot.community,up,mastodon,20384,143470,9880,1667465053
www.mastodon.scot,up,mastodon,20190,278505,16166,1640988107
mastodon.scot,up,mastodon,20106,278018,16161,1612578269
wxw.ooo,up,mastodon,19952,5343641,13222,1666241191
wxw.moe,up,mastodon,19950,5343303,13222,1612578266
mastodon.nl,up,mastodon,19673,154540,15650,1612578268
social.tchncs.de,up,mastodon,19053,1699918,24007,1612578266
mastodon.bida.im,up,mastodon,17726,785263,17824,1612578268
aus.social,up,mastodon,17201,434152,16156,1612578268
masto.ai,up,mastodon,17157,94617,9084,1667777524
kolektiva.social,up,mastodon,16576,402818,14254,1612578270
m.rthome.me,up,mastodon,16568,629,3724,1612578345
mstdn.io,up,mastodon,16460,2508020,21843,1612578270
abdl.link,up,mastodon,15973,271127,7168,1612578267
tkz.one,up,mastodon,15786,58689,4662,1650008092
ravenation.club,up,mastodon,15712,178706,8795,1651017592
nerdculture.de,up,mastodon,15696,116292,15221,1612578269
mastodon.gamedev.place,up,mastodon,15605,182475,18434,1612578266
mastodon.ie,up,mastodon,15554,190717,14185,1612578268
ioc.exchange,up,mastodon,15397,108262,13495,1612578269
o3o.ca,up,mastodon,14966,4615958,11144,1612578269
mao.mastodonhub.com,up,mastodon,14460,1345933,8784,1612578269
mastodon.com.tr,up,mastodon,14428,126479,5699,1651774648
bitcoinhackers.org,up,mastodon,12984,827110,17842,1612578268
hachyderm.io,up,mastodon,12961,85126,9676,1651060929
toot.wales,up,mastodon,12902,145864,17609,1612578268
eldritch.cafe,up,mastodon,12574,1825671,20209,1612578267
det.social,up,mastodon,12332,111191,8303,1651496694
mastodontech.de,up,mastodon,12192,106838,14664,1612578266
octodon.social,up,mastodon,12121,2173641,22248,1612578266
noc.social,up,mastodon,11674,89714,12734,1612578269
mastodon.green,up,mastodon,10980,139540,12785,1612578266
kinky.business,up,mastodon,10890,277333,13794,1612578268
framapiaf.org,up,mastodon,10830,2079418,20337,1612578271
nrw.social,up,mastodon,10804,134982,10054,1612578266
masto.pt,up,mastodon,10432,148591,17462,1612578270
chaos.social,up,mastodon,10292,3173434,22913,1612578270
twingyeo.kr,up,mastodon,10289,1209684,12272,1612578267
awscommunity.social,up,mastodon,10277,75057,7976,1651137353
love.alicecomplex.com,up,mastodon,9904,47684481,88793,1612578270
social.linux.pizza,up,mastodon,9840,235262,20731,1612578269
norden.social,up,mastodon,9821,538578,16554,1612578268
mastodon.nu,up,mastodon,9700,59896,9044,1612579014
mastouille.fr,up,mastodon,9611,14988,8544,1621282389
climatejustice.social,up,mastodon,9532,123839,12276,1612578268
noagendasocial.com,up,mastodon,9332,3682534,11092,1612578269
mastodon.iriseden.eu,up,mastodon,8996,12107,9474,1612578267
glasgow.social,up,mastodon,8883,94972,10546,1612578268
indieweb.social,up,mastodon,8746,64634,17389,1612578267
meow.social,up,mastodon,8596,680885,16712,1612578267
sueden.social,up,mastodon,8570,63899,9567,1651092057
ro-mastodon.puyo.jp,up,mastodon,8546,2089706,1860,1612578267
mstdn.ca,up,mastodon,8233,45858,8802,1651043715
mastodon.fun,up,mastodon,7766,785014,9020,1612578387
me.ns.ci,up,mastodon,7765,784944,9019,1612578270
social.cologne,up,mastodon,7720,78520,12191,1612578265
ruhr.social,up,mastodon,7527,143174,16626,1612578266
tech.lgbt,up,mastodon,7257,443846,17456,1612578267
planet.moe,up,mastodon,7114,348071,7857,1612578269
101010.pl,up,mastodon,6999,117348,16492,1612578269
mastodon.nz,up,mastodon,6978,135707,12511,1612578268
g0v.social,up,mastodon,6907,576579,14406,1612578269
muenchen.social,up,mastodon,6805,118331,12883,1612578269
mathstodon.xyz,up,mastodon,6750,183559,15856,1612578268
social.librem.one,up,mastodon,6658,122421,18238,1612578267
socel.net,up,mastodon,6641,49942,13016,1612578267
piaille.fr,up,mastodon,6624,76895,7056,1667313769
truthsocial.co.in,up,mastodon,6398,52203,2797,1651281820
hessen.social,up,mastodon,6384,46634,8011,1621452692
hostux.social,up,mastodon,6376,304982,14742,1612578266
queer.party,up,mastodon,6202,730953,19591,1612578268
ieji.de,up,mastodon,6182,88921,18061,1612578267
newsie.social,up,mastodon,6145,15703,8162,1667220086
botsin.space,up,mastodon,6121,18765487,19702,1612578269
todon.nl,up,mastodon,6019,1159388,18591,1612578267
social.anoxinon.de,up,mastodon,6003,91423,15169,1612578267
vis.social,up,mastodon,5982,79995,17165,1612578269
h4.io,up,mastodon,5948,14932,5126,1651682903
mastodon.au,up,mastodon,5845,5989,3513,1665705253
helladoge.com,up,mastodon,5755,222260,8146,1631862818
social.dev-wiki.de,up,mastodon,5612,17711,12735,1612578266
imastodon.net,up,mastodon,5551,14323888,9042,1612578266
kirakiratter.com,up,mastodon,5536,2525097,9469,1612578265
econtwitter.net,up,mastodon,5366,31338,8299,1667605044
fediscience.org,up,mastodon,5344,62762,12582,1612578270
med-mastodon.com,up,mastodon,5272,37144,8146,1667195769
lou.lt,up,mastodon,4995,87162,12032,1612578270
dju.social,up,mastodon,4984,5342,4669,1651251870
scholar.social,up,mastodon,4839,327019,19735,1612578267
mstdn.guru,up,mastodon,4669,1520800,9099,1612578268
dice.camp,up,mastodon,4580,89014,11922,1612578270
pouet.chapril.org,up,mastodon,4520,156178,14106,1612578268
gensokyo.town,up,mastodon,4504,489154,9506,1612578266
mastodont.cat,up,mastodon,4472,689369,8463,1612578269
pewtix.com,up,mastodon,4471,5871,5740,1650926795
twit.social,up,mastodon,4449,32246,13527,1612578268
ura-mstdn.com,up,mastodon,4438,36066,1009,1612578270
metalhead.club,up,mastodon,4380,165994,17460,1612578270
vocalodon.net,up,mastodon,4245,4245357,11233,1612578268
ichiji.social,up,mastodon,4219,2178249,8085,1612578267
livellosegreto.it,up,mastodon,4215,180813,8960,1648511628
sigmoid.social,up,mastodon,4205,14590,7681,1667484307
wien.rocks,up,mastodon,4191,44043,8006,1620986504
linuxrocks.online,up,mastodon,4041,181146,20664,1612578265
sociale.network,up,mastodon,4030,146053,12147,1612578266
theblower.au,up,mastodon,3979,4411,3619,1667918249
social.politicaconciencia.org,up,mastodon,3887,219739,13767,1612578268
