hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,2241382,111986598,78232,1612578269
pawoo.net,up,mastodon,958187,73887363,44067,1612578266
mstdn.jp,up,mastodon,409527,79571026,69129,1612578266
baraag.net,up,mastodon,295152,15071715,32051,1612578267
mastodon.cloud,up,mastodon,275527,5851134,57017,1612578270
mstdn.social,up,mastodon,246129,18342077,67416,1612578271
pravda.me,up,mastodon,228895,1554408,7937,1676919172
mastodon.online,up,mastodon,190123,10380999,52481,1612578267
mastodon.world,up,mastodon,186894,6756962,40211,1615647261
mas.to,up,mastodon,179146,9648064,52207,1612578271
techhub.social,up,mastodon,81674,2029434,40120,1612578267
universeodon.com,up,mastodon,81552,3720614,34584,1667629108
mastodon.uno,up,mastodon,74558,1423893,44174,1612578267
masto.ai,up,mastodon,73363,2670778,68018,1667777524
mastodon.sdf.org,up,mastodon,72985,2284769,26355,1612578266
infosec.exchange,up,mastodon,71837,3672910,49574,1612578269
c.im,up,mastodon,67252,2913788,40820,1612578270
fosstodon.org,up,mastodon,62240,3883081,55893,1612578270
social.vivaldi.net,up,mastodon,59040,2606125,64512,1668254531
persistent.info,up,mastodon,54901,3578716,,1668988968
hachyderm.io,up,mastodon,54901,3578716,42596,1651060929
loforo.com,up,mastodon,52605,6430624,23169,1670267516
mstdn.party,up,mastodon,51360,1650646,37243,1667944871
mastodon.top,up,mastodon,51333,805520,37164,1612578268
m.cmx.im,up,mastodon,45813,6077175,61413,1612578265
troet.cafe,up,mastodon,44738,3130977,25684,1612578268
aethy.com,up,mastodon,42181,1372259,19990,1667676749
mastodon.nl,up,mastodon,41802,2535160,41659,1612578268
ohai.social,up,mastodon,39634,1621445,40163,1667930033
sfba.social,up,mastodon,38928,2735695,39272,1612578268
kolektiva.social,up,mastodon,38734,3086433,57417,1612578270
ploum.be,up,mastodon,38296,6887073,,1612578345
ploum.net,up,mastodon,38296,6887073,,1699688359
mamot.fr,up,mastodon,38296,6887073,49742,1612578270
mastodon.art,up,mastodon,38040,3838517,49385,1612578267
mast.lat,up,mastodon,36241,103642,14431,1671490848
tkz.one,up,mastodon,36234,593359,18869,1650008092
mindly.social,up,mastodon,35826,1506290,38064,1649557318
mstdn.ca,up,mastodon,34877,2876968,40278,1651043715
social.quodverum.com,up,mastodon,34297,8162291,13828,1612578267
mastodon.gamedev.place,up,mastodon,32794,1505975,47685,1612578266
alive.bar,up,mastodon,32377,5586472,29270,1612578267
piaille.fr,up,mastodon,31873,2804096,33908,1667313769
toot.community,up,mastodon,31530,1718442,37184,1667465053
planet.moe,up,mastodon,29672,11631483,24538,1612578269
www.mastodon.scot,up,mastodon,28938,2179033,43676,1640988107
mastodon.scot,up,mastodon,28938,2179103,43676,1612578269
mastodon.xyz,up,mastodon,28477,2155111,54466,1612578271
masto.es,up,mastodon,27987,755753,16890,1668226037
qoto.org,up,mastodon,27368,1672198,48731,1612578268
ravenation.club,up,mastodon,27071,460413,35310,1651017592
me.dm,up,mastodon,26604,197261,33461,1673350243
mastodon.au,up,mastodon,26601,676558,34955,1665705253
ioc.exchange,up,mastodon,26541,515264,38256,1612578269
aus.social,up,mastodon,25456,2763747,41006,1612578268
det.social,up,mastodon,25447,830695,28613,1651496694
wxw.ooo,up,mastodon,23210,10953137,30323,1666241191
wxw.moe,up,mastodon,23210,10953137,30323,1612578266
masto.nu,up,mastodon,22824,77571,18577,1668359341
social.tchncs.de,up,mastodon,22393,3246863,52601,1612578266
mstdn.business,up,mastodon,21898,200574,209076,1671146966
mastouille.fr,up,mastodon,21698,216709,30966,1621282389
mastodon.com.tr,up,mastodon,21108,467292,19455,1651774648
mastodon.ie,up,mastodon,21073,1490299,43478,1612578268
mastodon.bida.im,up,mastodon,20995,925491,39757,1612578268
thu.closed.social,up,mastodon,20824,152952,24,1612578345
newsie.social,up,mastodon,20775,1311513,132067,1667220086
mathstodon.xyz,up,mastodon,19123,1287782,42896,1612578268
nrw.social,up,mastodon,18171,1429414,33707,1612578266
o3o.ca,up,mastodon,18033,8242917,30155,1612578269
abdl.link,up,mastodon,17049,312938,18746,1612578267
mastodon.nu,up,mastodon,16823,830184,35136,1612579014
mastodontech.de,up,mastodon,16501,506019,30623,1612578266
mastodon-japan.net,up,mastodon,16492,4982920,21258,1667983507
theblower.au,up,mastodon,15408,355574,27526,1667918249
glasgow.social,up,mastodon,14868,242357,27801,1612578268
mao.mastodonhub.com,up,mastodon,14841,1441674,16851,1612578269
ieji.de,up,mastodon,14668,380799,44878,1612578267
sueden.social,up,mastodon,14485,728839,33749,1651092057
defcon.social,up,mastodon,14101,288084,34045,1668556021
kinky.business,up,mastodon,13601,553452,32755,1612578268
noc.social,up,mastodon,13396,423847,37725,1612578269
norden.social,up,mastodon,13367,2704202,43981,1612578268
meow.social,up,mastodon,13084,2179771,24351,1612578267
eldritch.cafe,up,mastodon,12839,2915813,45804,1612578267
chaos.social,up,mastodon,12406,7431764,70277,1612578270
octodon.social,up,mastodon,12208,3070971,49733,1612578266
mstdn.plus,up,mastodon,12032,168883,28192,1612579078
social.cologne,up,mastodon,12003,695022,37221,1612578265
mastodon.green,up,mastodon,11966,1142005,34921,1612578266
toot.io,up,mastodon,11949,187375,35566,1612578267
social.linux.pizza,up,mastodon,11750,759345,48223,1612578269
indieweb.social,up,mastodon,11686,633764,46584,1612578267
denostodon.deno.dev,up,mastodon,11686,633764,,1682895834
freemasonry.social,up,mastodon,11637,315,12175,1668384511
med-mastodon.com,up,mastodon,11435,456186,34909,1667195769
awscommunity.social,up,mastodon,11237,274495,33584,1651137353
toot.wales,up,mastodon,11198,686428,43198,1612578268
mastodon.iriseden.eu,up,mastodon,11119,82038,23487,1612578267
sigmoid.social,up,mastodon,10959,200986,33961,1667484307
muenchen.social,up,mastodon,10902,373791,20012,1612578269
framapiaf.org,up,mastodon,10783,2579963,42486,1612578271
ro-mastodon.puyo.jp,up,mastodon,10740,2752522,3576,1612578267
ruhr.social,up,mastodon,10518,739359,42330,1612578266
mstdn.tokyocameraclub.com,up,mastodon,10510,142472,15218,1612578270
cyberplace.social,up,mastodon,10349,99910,30776,1669121871
social.anoxinon.de,up,mastodon,10271,455069,37723,1612578267
hessen.social,up,mastodon,9982,668733,30530,1621452692
climatejustice.social,up,mastodon,9956,639473,27457,1612578268
stranger.social,up,mastodon,9715,206516,30507,1669842504
projectmushroom.social,up,mastodon,9319,34313,,1668572864
dice.camp,up,mastodon,9114,1121803,39652,1612578270
fairy.id,up,mastodon,9094,189584,27382,1644249296
mastodon.nz,up,mastodon,9088,1126110,37325,1612578268
botsin.space,up,mastodon,9015,32643379,46225,1612578269
occm.cc,up,mastodon,8666,6085410,2988,1626061599
socel.net,up,mastodon,8584,457146,38737,1612578267
aipi.social,up,mastodon,8567,27703,17127,1612578266
h4.io,up,mastodon,8468,120746,22877,1651682903
101010.pl,up,mastodon,8413,594944,23446,1612578269
hostux.social,up,mastodon,8394,478757,32900,1612578266
twit.social,up,mastodon,8292,483592,40697,1612578268
mastodont.cat,up,mastodon,8221,1159064,28179,1612578269
me.ns.ci,up,mastodon,8169,1172176,22873,1612578270
mastodon.fun,up,mastodon,8169,1172151,22873,1612578387
geekdom.social,up,mastodon,8087,124425,26077,1669308888
econtwitter.net,up,mastodon,8033,232172,19176,1667605044
g0v.social,up,mastodon,7781,1170165,35841,1612578269
moth.social,up,mastodon,7770,50742,29221,1671693455
pol.social,up,mastodon,7439,233431,29379,1635770435
livellosegreto.it,up,mastodon,7344,407321,32044,1648511628
truthsocial.co.in,up,mastodon,7208,62430,110694,1651281820
graphics.social,up,mastodon,7190,33339,29247,1667628718
mstdn.science,up,mastodon,7174,358824,109450,1667197941
nerdculture.de,up,mastodon,7131,669937,26633,1612578269
vocalodon.net,up,mastodon,6996,5244174,25381,1612578268
social.librem.one,up,mastodon,6985,169680,40835,1612578267
nojack.easydns.ca,up,mastodon,6948,21129,25137,1612578267
urbanists.social,up,mastodon,6323,533800,35343,1667260279
ruby.social,up,mastodon,6279,331662,67738,1612578266
vis.social,up,mastodon,6256,214988,41757,1612578269
queer.party,up,mastodon,6139,1156016,44651,1612578268
zirk.us,up,mastodon,5960,850514,38700,1667517909
bark.lgbt,up,mastodon,5923,279571,27237,1671200896
union.place,up,mastodon,5812,330819,26942,1668130028
dju.social,up,mastodon,5733,122973,24427,1651251870
imastodon.net,up,mastodon,5697,16066591,18375,1612578266
toot.funami.tech,up,mastodon,5650,178112,21505,1665984385
fediscience.org,up,mastodon,5640,569932,37190,1612578270
metalhead.club,up,mastodon,5610,552872,42382,1612578270
kirakiratter.com,up,mastodon,5471,2650954,19327,1612578265
social.politicaconciencia.org,up,mastodon,5436,303892,31669,1612578268
mastodonczech.cz,up,mastodon,5395,286146,25771,1668156684
flipboard.social,up,mastodon,5373,382674,29932,1674337995
mastodontti.fi,up,mastodon,5328,384417,33519,1612578266
ecoevo.social,up,mastodon,5320,311286,33384,1667426972
convo.casa,up,mastodon,5319,49154,32453,1668572374
cupoftea.social,up,mastodon,5283,208399,32077,1668904962
toot.aquilenet.fr,up,mastodon,5242,302083,34922,1612578268
masto.pt,up,mastodon,5210,462347,41682,1612578270
sciences.social,up,mastodon,4986,226065,33024,1667197941
kinkyelephant.com,up,mastodon,4975,335911,29769,1612578269
mastodon.eus,up,mastodon,4909,411237,27951,1612578270
phpc.social,up,mastodon,4905,294839,37993,1612578266
scholar.social,up,mastodon,4775,621643,44814,1612578267
mstdn.guru,up,mastodon,4763,1724900,18014,1612578268
link.baai.ac.cn,up,mastodon,4641,14774,1961,1693627486
rollenspiel.social,up,mastodon,4601,373801,18425,1612578267
lor.sh,up,mastodon,4542,731403,39167,1612578267
gensokyo.town,up,mastodon,4498,525079,18618,1612578266
todon.eu,up,mastodon,4439,679479,36274,1612578269
linuxrocks.online,up,mastodon,4373,243938,42939,1612578265
wien.rocks,up,mastodon,4339,264589,23111,1620986504
muenster.im,up,mastodon,4325,273829,28830,1612578266
1234.as,up,mastodon,4299,878016,22915,1612578266
ichiji.social,up,mastodon,4206,1957254,16535,1612578267
sociale.network,up,mastodon,4183,501685,34775,1612578266
kind.social,up,mastodon,4130,484152,36215,1612578267
mastodon.zaclys.com,up,mastodon,4067,335689,38068,1612578266
rubber.social,up,mastodon,4067,213593,27062,1612578269
artsio.com,up,mastodon,3952,24190,18453,1651010199
lou.lt,up,mastodon,3944,119785,24861,1612578270
bgme.me,up,mastodon,3876,5628347,29753,1612578270
genomic.social,up,mastodon,3867,176879,30684,1667385374
freeatlantis.com,up,mastodon,3840,2011473,22579,1628611184
dresden.network,up,mastodon,3780,413171,29935,1612578267
social.targaryen.house,up,mastodon,3779,108904,33802,1612578269
wandering.shop,up,mastodon,3768,2207809,46046,1612578269
mastodon.berlin,up,mastodon,3759,29710,25984,1612579012
yiff.life,up,mastodon,3723,1200852,38657,1612578267
writing.exchange,up,mastodon,3673,562548,44887,1612578267
gensokyo.social,up,mastodon,3642,125473,31848,1612578268
mastodon-belgium.be,up,mastodon,3636,196126,25743,1667430788
uri.life,up,mastodon,3605,767991,15277,1612578387
qdon.space,up,mastodon,3604,603106,17316,1612578270
liker.social,up,mastodon,3586,452333,23630,1612578267
mastodon.radio,up,mastodon,3541,366482,37022,1612578266
rheinneckar.social,up,mastodon,3467,129406,28803,1650131184
mathtod.online,up,mastodon,3456,80812,15952,1612578271
todon.nl,up,mastodon,3450,1506057,40361,1612578267
tooot.im,up,mastodon,3440,597820,37531,1612578266
discuss.systems,up,mastodon,3422,219166,25311,1667878005
donphan.social,up,mastodon,3374,143000,32118,1612578271
expressional.social,up,mastodon,3291,137443,21197,1668278006
mastoturk.org,up,mastodon,3289,370710,2030,1674611164
toad.social,up,mastodon,3258,642595,31027,1667903460
photog.social,up,mastodon,3250,559318,42995,1612578268
androiddev.social,up,mastodon,3209,100301,31505,1667396811
ffxiv-mastodon.com,up,mastodon,3206,792448,9473,1612578267
mastodon.ml,up,mastodon,3201,1014442,46712,1612578271
fulda.social,up,mastodon,3197,62764,23412,1612578270
tabletop.social,up,mastodon,3160,173542,35118,1612578269
veganism.social,up,mastodon,3155,153484,29051,1668940777
lile.cl,up,mastodon,3135,530048,29358,1651004483
ursal.zone,up,mastodon,3134,369936,32607,1612578266
best-friends.chat,up,mastodon,3133,12904877,26445,1612578266
ika.queloud.net,up,mastodon,3115,1875015,13470,1612578268
equestria.social,up,mastodon,3067,294795,37456,1612578266
bildung.social,up,mastodon,3048,395632,37882,1612578268
mastodon.in.th,up,mastodon,3012,297269,22736,1612578271
mastodon.arch-linux.cz,up,mastodon,3010,171866,27270,1614098350
journa.host,up,mastodon,3002,372879,35302,1667650887
iztasocial.site,up,mastodon,2995,53654,4791,1612578347
peoplemaking.games,up,mastodon,2959,245465,35425,1651064566
kemonodon.club,up,mastodon,2943,836799,16986,1612578266
berlin.social,up,mastodon,2926,409659,42592,1612578347
tooting.ch,up,mastodon,2921,250388,39646,1612578269
digitalcourage.social,up,mastodon,2900,736941,23442,1612578271
toot.cafe,up,mastodon,2875,394076,41456,1612578268
disabled.social,up,mastodon,2867,353523,29853,1667883830
freeradical.zone,up,mastodon,2835,704863,31141,1612578266
hispagatos.space,up,mastodon,2830,107322,32013,1612578270
oc.todon.fr,up,mastodon,2824,195513,35255,1612578270
snabelen.no,up,mastodon,2756,209845,139666,1612578266
mastodon.london,up,mastodon,2732,25348,155502,1612578270
toot.cat,up,mastodon,2694,734128,54005,1612578265
woof.group,up,mastodon,2678,369812,30339,1612578266
hci.social,up,mastodon,2665,134887,29320,1651593490
noauthority.social,up,mastodon,2653,854979,16877,1705151215
astrodon.social,up,mastodon,2641,169969,32976,1667117307
mastodon.me.uk,up,mastodon,2640,439603,40486,1612578270
newsmast.social,up,mastodon,2633,266659,23043,1692716632
