hostname,state,software,user_count,note_count,peer_count,discovered_at
mastodon.social,up,mastodon,1846386,84339028,69437,1612578269
good.news,up,mastodon,1523122,9123122,4123122,1689323959
pawoo.net,up,mastodon,932897,71590062,40259,1612578266
daystorm.netz.org,up,mastodon,479002,20,16,1683075712
mstdn.jp,up,mastodon,404794,74229081,64157,1612578266
baraag.net,up,mastodon,293763,11711484,29045,1612578267
mastodon.cloud,up,mastodon,273620,5490596,51711,1612578270
pravda.me,up,mastodon,228895,1563398,8682,1676919172
mstdn.social,up,mastodon,224290,15473811,61352,1612578271
mastodon.online,up,mastodon,192602,8062790,45154,1612578267
mastodon.world,up,mastodon,181595,5134152,35210,1615647261
mas.to,up,mastodon,170484,7296436,45455,1612578271
gc2.jp,up,mastodon,99697,1301285,0,1658913991
techhub.social,up,mastodon,79771,1476802,33297,1612578267
universeodon.com,up,mastodon,78771,2962600,28426,1667629108
masto.ai,up,mastodon,73526,2087013,62648,1667777524
mastodon.sdf.org,up,mastodon,72819,1926055,35245,1612578266
mastodon.uno,up,mastodon,71833,1303196,38583,1612578267
c.im,up,mastodon,66384,2215819,34936,1612578270
infosec.exchange,up,mastodon,64990,2604944,42903,1612578269
fosstodon.org,up,mastodon,61730,3133210,49547,1612578270
evsyukov.org,up,mastodon,51774,2641326,22,1669235116
hachyderm.io,up,mastodon,51774,2641403,35912,1651060929
persistent.info,up,mastodon,51774,2641403,,1668988968
mastodon.top,up,mastodon,51546,701554,32865,1612578268
mstdn.party,up,mastodon,50474,1436573,32109,1667944871
social.vivaldi.net,up,mastodon,45115,1811131,58348,1668254531
m.cmx.im,up,mastodon,43896,5199777,57776,1612578265
troet.cafe,up,mastodon,43267,4130163,36260,1612578268
loforo.com,up,mastodon,41565,5081093,23169,1670267516
mastodon.nl,up,mastodon,41032,1794816,36623,1612578268
ohai.social,up,mastodon,39099,1227204,33209,1667930033
sfba.social,up,mastodon,38628,2039730,41358,1612578268
mamot.fr,up,mastodon,38357,6379007,44226,1612578270
ploum.net,up,mastodon,38357,6379305,,1699688359
ploum.be,up,mastodon,38357,6379417,,1612578345
kolektiva.social,up,mastodon,37438,2382775,51694,1612578270
home.social,up,mastodon,36613,739676,21652,1667792203
mastodon.art,up,mastodon,36582,3276217,47062,1612578267
mindly.social,up,mastodon,35673,1252848,32260,1649557318
mstdn.ca,up,mastodon,34867,2237862,34354,1651043715
mast.lat,up,mastodon,34313,60886,10421,1671490848
tkz.one,up,mastodon,34311,469952,15165,1650008092
social.quodverum.com,up,mastodon,34311,7889248,12590,1612578267
alive.bar,up,mastodon,31095,4663910,24403,1612578267
mastodon.gamedev.place,up,mastodon,31041,1214498,41871,1612578266
toot.community,up,mastodon,30911,1358251,31516,1667465053
